impettus@Impettus-HP-Z220-CMT-BR-Workstation:~/Documents/T2_LABREDES/src$ sudo python3 HostScanner.py 192.168.100.0/24 5000
Usando a interface: eno1
192.168.100.0/24
5000ms

IP origem: 192.168.100.8
MAC origem: 6f:40:50:c6:cf:65

Hosts ativos encontrados:
IPv4: 192.168.100.37, Response time: 2798.81 ms
IPv4: 192.168.100.38, Response time: 2798.12 ms
IPv4: 192.168.100.34, Response time: 2798.36 ms
IPv4: 192.168.100.19, Response time: 2798.98 ms
IPv4: 192.168.100.42, Response time: 2797.74 ms
IPv4: 192.168.100.50, Response time: 2798.29 ms
IPv4: 192.168.100.39, Response time: 2797.46 ms
IPv4: 192.168.100.17, Response time: 2798.14 ms
IPv4: 192.168.100.12, Response time: 2806.28 ms
IPv4: 192.168.100.15, Response time: 2798.69 ms
IPv4: 192.168.100.21, Response time: 2798.81 ms
IPv4: 192.168.100.11, Response time: 2807.04 ms
IPv4: 192.168.100.43, Response time: 2798.89 ms
IPv4: 192.168.100.36, Response time: 2797.86 ms
IPv4: 192.168.100.18, Response time: 2798.11 ms
IPv4: 192.168.100.25, Response time: 2798.44 ms
IPv4: 192.168.100.49, Response time: 2798.01 ms
IPv4: 192.168.100.45, Response time: 2798.94 ms
IPv4: 192.168.100.6, Response time: 2805.81 ms
IPv4: 192.168.100.47, Response time: 2797.48 ms
IPv4: 192.168.100.9, Response time: 2806.95 ms
IPv4: 192.168.100.48, Response time: 2798.42 ms
IPv4: 192.168.100.41, Response time: 2797.58 ms
IPv4: 192.168.100.24, Response time: 2799.36 ms
IPv4: 192.168.100.30, Response time: 2799.19 ms
IPv4: 192.168.100.16, Response time: 2797.72 ms
IPv4: 192.168.100.31, Response time: 2799.05 ms
IPv4: 192.168.100.40, Response time: 2798.40 ms
IPv4: 192.168.100.13, Response time: 2797.76 ms
IPv4: 192.168.100.22, Response time: 2796.98 ms
IPv4: 192.168.100.29, Response time: 2798.04 ms
IPv4: 192.168.100.4, Response time: 2806.70 ms
IPv4: 192.168.100.23, Response time: 2797.60 ms
IPv4: 192.168.100.28, Response time: 2798.52 ms
